firm_id,firm_name,country,exchange,ticker,sector,sample_status,first_target_year,last_target_year,sample_inclusion_rule,exchange_listing_verified_as_of,listing_verification_status,collection_priority,year,employment_status,employees,employment_record_count,employment_source_batches,scope_break,hash_pending,ai_evidence_records,ai_source_batches
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2018,exact_scope_break,67947.0,1.0,research_batch_01_employment.csv,True,False,0,
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2019,exact_scope_break,69867.0,1.0,research_batch_01_employment.csv,True,False,0,
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2020,exact_scope_break,66800.0,1.0,research_batch_01_employment.csv,True,False,0,
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2021,exact,68493.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2022,exact,70496.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2023,exact,73311.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2024,exact,75118.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1,2025,exact,76664.0,1.0,research_batch_01_employment.csv,False,False,1,research_batch_52_ai_evidence.csv
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2018,unresolved,,,,False,True,0,
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2019,unresolved,,,,False,True,0,
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2020,unresolved,,,,False,True,0,
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2021,unresolved,,,,False,True,0,
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2022,unresolved,,,,False,True,1,research_batch_01_ai_evidence.csv
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2023,exact,22751.0,1.0,research_batch_36_employment.csv,False,False,0,
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2024,exact_scope_break,19863.0,1.0,research_batch_36_employment.csv,True,False,0,
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2,2025,unresolved,,,,False,True,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2018,exact,38953.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2019,exact,37821.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2020,exact,37066.0,1.0,research_batch_39_employment.csv,False,False,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2021,exact,35386.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2022,exact,38351.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2023,exact,41072.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2024,exact,43821.0,1.0,research_batch_01_employment.csv,False,False,0,
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3,2025,exact,45856.0,1.0,research_batch_01_employment.csv,False,False,1,research_batch_52_ai_evidence.csv
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2018,rounded,32000.0,1.0,research_batch_53_employment.csv,False,False,0,
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2019,rounded,32000.0,1.0,research_batch_53_employment.csv,False,False,0,
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2020,rounded,32000.0,1.0,research_batch_53_employment.csv,False,False,0,
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2021,rounded,31000.0,1.0,research_batch_53_employment.csv,False,False,1,research_batch_06_ai_evidence.csv
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2022,rounded,31000.0,1.0,research_batch_53_employment.csv,False,False,0,
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2023,rounded,32000.0,1.0,research_batch_53_employment.csv,False,False,0,
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2024,rounded,28000.0,1.0,research_batch_53_employment.csv,True,False,0,
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4,2025,rounded,26000.0,1.0,research_batch_53_employment.csv,False,False,0,
SA_1211,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Saudi Exchange,1211,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,5,2018,unresolved,,,,False,True,0,
SA_1211,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Saudi Exchange,1211,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,5,2019,unresolved,,,,False,True,0,
SA_1211,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Saudi Exchange,1211,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,5,2020,unresolved,,,,False,True,0,
SA_1211,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Saudi Exchange,1211,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,5,2021,unresolved,,,,False,True,0,
SA_1211,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Saudi Exchange,1211,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,5,2022,unresolved,,,,False,True,0,
SA_1211,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Saudi Exchange,1211,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,5,2023,unresolved,,,,False,True,0,
