firm_id,firm_name,country,exchange,ticker,sector,sample_status,first_target_year,last_target_year,sample_inclusion_rule,exchange_listing_verified_as_of,listing_verification_status,collection_priority
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1
SA_7010,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,Telecommunication Services,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,2
SA_2280,Almarai Company,Saudi Arabia,Saudi Exchange,2280,Food & Beverages,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,3
SA_2010,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,Saudi Exchange,2010,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,4
SA_1211,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,Saudi Exchange,1211,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,5
SA_5110,Saudi Electricity Company,Saudi Arabia,Saudi Exchange,5110,Utilities,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,6
SA_7020,Etihad Etisalat Company (Mobily),Saudi Arabia,Saudi Exchange,7020,Telecommunication Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,7
SA_7030,Mobile Telecommunication Company Saudi Arabia (Zain KSA),Saudi Arabia,Saudi Exchange,7030,Telecommunication Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,8
SA_4190,Jarir Marketing Company,Saudi Arabia,Saudi Exchange,4190,Retail,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,9
SA_2050,Savola Group,Saudi Arabia,Saudi Exchange,2050,Food & Beverages,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,10
SA_1120,Al Rajhi Banking and Investment Corporation,Saudi Arabia,Saudi Exchange,1120,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,11
SA_1010,Riyad Bank,Saudi Arabia,Saudi Exchange,1010,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,12
SA_1080,Arab National Bank,Saudi Arabia,Saudi Exchange,1080,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,13
SA_1050,Banque Saudi Fransi,Saudi Arabia,Saudi Exchange,1050,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,14
SA_1150,Alinma Bank,Saudi Arabia,Saudi Exchange,1150,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,15
SA_1140,Bank Albilad,Saudi Arabia,Saudi Exchange,1140,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,16
SA_8210,Bupa Arabia for Cooperative Insurance,Saudi Arabia,Saudi Exchange,8210,Insurance,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,17
SA_8010,The Company for Cooperative Insurance (Tawuniya),Saudi Arabia,Saudi Exchange,8010,Insurance,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,18
SA_3030,Saudi Cement Company,Saudi Arabia,Saudi Exchange,3030,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,19
SA_3060,Yanbu Cement Company,Saudi Arabia,Saudi Exchange,3060,Materials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,20
AE_DFM_EMIRATESNBD,Emirates NBD Bank PJSC,United Arab Emirates,Dubai Financial Market,EMIRATESNBD,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,21
AE_DFM_DIB,Dubai Islamic Bank PJSC,United Arab Emirates,Dubai Financial Market,DIB,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,22
AE_DFM_EMAAR,Emaar Properties PJSC,United Arab Emirates,Dubai Financial Market,EMAAR,Real Estate,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,23
AE_DFM_EMAARDEV,Emaar Development PJSC,United Arab Emirates,Dubai Financial Market,EMAARDEV,Real Estate,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,24
