audit_id,firm_id,firm_name,year,variable,candidate_value,candidate_unit,source_class,source_url,source_locator,status,reason,required_resolution
BSF_EMP_2024_A,SA_1050,Banque Saudi Fransi,2024,employees,2687,persons,official_exchange_profile,https://www.saudiexchange.sa/,Saudi Exchange company profile; last update 2024-12-24,excluded_narrower_or_undefined_perimeter,"The 2,687 exchange-profile snapshot is consistent with BSF's separate narrower Bank-entity perimeter, but the profile does not define scope. BSF's annual-report Group series reports 3,056.","Resolved for the Group outcome: preserve as a non-canonical narrower/undefined-perimeter snapshot."
BSF_EMP_2024_B,SA_1050,Banque Saudi Fransi,2024,employees,3056,persons,filing_derived_vendor,https://stockanalysis.com/quote/tadawul/1050/employees/,S&P Global Market Intelligence-derived Dec. 31 2024 value,confirmed_but_not_primary_source,"The vendor value is numerically confirmed by BSF's official 2024 annual report, including its financial highlights and audited general note.","Resolved: retain as a cross-check; cite and archive the issuer annual report as the canonical source."
BSF_EMP_2024_C,SA_1050,Banque Saudi Fransi,2024,employees,5000,persons,automated_esg_extraction,https://www.sustainabilityreports.com/banque-saudi-fransi/2024/annual-report,Experimental AI-extracted ESG metric,rejected_low_reliability,"The experimental third-party extraction conflicts with BSF's repeated audited annual-report value of 3,056 and does not document a compatible reporting perimeter.","Resolved: exclude from the outcome panel."
BSF_EMP_2018_INTRO,SA_1050,Banque Saudi Fransi,2018,employees,2720,persons,official_board_report,https://bsf.sa/library/assets/Gallery/Documents/AnnualReports/BOD18en.pdf,Board of Directors Report 2018 introductory Bank profile,excluded_narrower_bank_entity_perimeter,"The 2,720 introductory count describes the Bank entity; the consolidated annual-report indicators and remuneration table report 3,027 for the Group-compatible series.","Resolved: use 3,027 for the canonical Group series; retain 2,720 as the narrower Bank-entity observation."
BSF_EMP_2019_INTRO,SA_1050,Banque Saudi Fransi,2019,employees,2688,persons,official_annual_report,https://bsf.sa/library/assets/Gallery/Documents/AnnualReports/BSF_Annual_Report_2019-ENG.pdf,Annual Report 2019 introductory Bank profile,excluded_narrower_bank_entity_perimeter,"The 2,688 introductory count describes the Bank entity; the consolidated five-year indicators, general note, and remuneration table report 2,998 for the Group-compatible series.","Resolved: use 2,998 for the canonical Group series; retain 2,688 as the narrower Bank-entity observation."
BSF_EMP_2023_CONTEMP,SA_1050,Banque Saudi Fransi,2023,employees,3155,persons,official_annual_report,https://bsf.sa/library/assets/Gallery/Documents/AnnualReports/BSFAnnualReport-2023ENG.pdf,Annual Report 2023 headline employee count,retained_one_person_restatement,"The contemporaneous report gives 3,155, whereas both the 2024 and 2025 annual reports give the 2023 comparative as 3,154.","Resolved: use the later repeated comparative value 3,154 in the canonical series; retain the contemporaneous value for robustness and audit."
ANB_EMP_2021,SA_1080,Arab National Bank,2021,employees,4059,persons,filing_derived_vendor,https://stockanalysis.com/quote/tadawul/1080/employees/,S&P Global Market Intelligence-derived annual history,external_candidate_only,"Useful cross-check but not yet tied to an audited official-report page in this collection pass.","Verify against official ANB annual report and capture exact reporting scope/page/hash."
ANB_EMP_2022,SA_1080,Arab National Bank,2022,employees,4029,persons,filing_derived_vendor,https://stockanalysis.com/quote/tadawul/1080/employees/,S&P Global Market Intelligence-derived annual history,external_candidate_only,"Useful cross-check but not yet tied to an audited official-report page in this collection pass.","Verify against official ANB annual report and capture exact reporting scope/page/hash."
ANB_EMP_2023,SA_1080,Arab National Bank,2023,employees,4206,persons,filing_derived_vendor,https://stockanalysis.com/quote/tadawul/1080/employees/,S&P Global Market Intelligence-derived annual history,external_candidate_only,"Useful cross-check but not yet tied to an audited official-report page in this collection pass.","Verify against official ANB annual report and capture exact reporting scope/page/hash."
ANB_EMP_2024,SA_1080,Arab National Bank,2024,employees,4474,persons,filing_derived_vendor,https://stockanalysis.com/quote/tadawul/1080/employees/,S&P Global Market Intelligence-derived annual history,external_candidate_only,"Useful cross-check but not yet tied to an audited official-report page in this collection pass.","Verify against official ANB annual report and capture exact reporting scope/page/hash."
ANB_EMP_2025,SA_1080,Arab National Bank,2025,employees,4404,persons,filing_derived_vendor,https://stockanalysis.com/quote/tadawul/1080/employees/,S&P Global Market Intelligence-derived annual history,external_candidate_only,"Useful cross-check but not yet tied to an audited official-report page in this collection pass.","Verify against official ANB annual report and capture exact reporting scope/page/hash."
TAW_EMP_2024,SA_8010,The Company for Cooperative Insurance (Tawuniya),2024,employees,2252,persons,company_database,https://www.decypha.com/en/company-list/The%20Company%20for%20Cooperative%20Insurance-332,Decypha company profile,external_candidate_only,"Candidate headcount is not yet connected to an exact Tawuniya annual-report table/page.","Verify in Tawuniya 2024 annual or sustainability report from official investor archive."
BUPA_EMP_2024,SA_8210,Bupa Arabia for Cooperative Insurance,2024,employees,,,official_annual_report,https://buy.bupa.com.sa/docs/default-source/annual-reports/bupar24_english.pdf,Human Capital section and financial statements reviewed,unresolved_exact_headcount,"Report provides workforce composition, retention, recruitment and employee-cost metrics but the reviewed text does not expose a defensible exact total headcount; rounded percentages cannot be inverted safely.","Find exact headcount in sustainability appendix/ESG source or preserve explicit missingness."
BUPA_EMP_2025,SA_8210,Bupa Arabia for Cooperative Insurance,2025,employees,,,official_annual_report,https://bupa.com.sa/en/IR/FinancialInformation,Human Capital section / official 2025 report,unresolved_exact_headcount,"Workforce-at-a-glance reports rates and composition but no exact total headcount in the parsed table; do not infer total from rounded rates or promotion shares.","Search official ESG/sustainability appendix or retain missing outcome with reason."
