firm_id,firm_name,search_date,search_status,first_party_sources_reviewed,blocker_or_reason,admissible_numeric_observation_added,notes
AE_DFM_AJMANBANK,Ajman Bank PJSC,2026-08-10,first_party_archive_found_no_dated_total_headcount,"https://www.ajmanbank.ae/site/annual-integrated-reports.html | https://www.ajmanbank.ae/site/careers.html","Annual Integrated Reports 2023-2025 are exposed and the careers page reports 2025 hiring/training/recognition metrics, but no total employee headcount was surfaced in the dated first-party passages reviewed.",no,"Do not infer total workforce from 271 hires or 350+ recognised employees."
AE_DFM_CBD,Commercial Bank of Dubai PSC,2026-08-10,first_party_search_no_total_headcount,"https://www.cbd.ae/aboutus/media-centre/press-room/news","2025 first-party releases describe a Copilot rollout to 800+ employees and enterprise-wide AI/data training, but neither statement is a total workforce count.",no,"Do not convert programme participant counts into company headcount."
AE_DFM_EMAAR,Emaar Properties PJSC,2026-08-10,first_party_archive_found_no_dated_total_headcount,"https://www.emaar.com/en/investor-relations/emaar-properties-pjsc/reports-presentations | https://www.emaar.com/en/emaar-sustainability/employees","Annual/integrated report archive and employee sustainability page were reviewed at source-discovery level; no dated total Emaar Properties workforce number surfaced in the indexed first-party material.",no,"Do not import headcounts from Emaar subsidiaries/hospitality entities into the focal listed company."
AE_DFM_UPP,Union Properties PJSC,2026-08-10,first_party_archive_found_no_dated_total_headcount,"https://up.ae/financial-information/","Integrated annual reports are exposed for 2019 and 2021-2025, but no dated total employee count surfaced in the indexed first-party material reviewed.",no,"Keep unresolved rather than infer from subsidiary or payroll disclosures."
QA_CBQK,Commercial Bank of Qatar,2026-08-10,first_party_search_no_total_headcount,"https://cbq.qa/en/about-us/news/list/","2025 human-capital and financial-result releases were reviewed; they discuss employees, development programmes and operations without giving a total workforce count.",no,"AI deployment evidence is available separately; it does not solve the employment denominator."
QA_QGTS,Qatar Gas Transport Company Ltd. (Nakilat),2026-08-10,archive_endpoint_blocked_http_403,"https://investors.nakilat.com/English/financial-info/annual-reports/default.aspx | https://investors.nakilat.com/English/why-invest/key-figures/default.aspx","The annual-report endpoint returns HTTP 403 to GitHub-hosted retrieval. The browser-visible key-figures page exposes employee-benefit liabilities but not employee counts.",no,"Do not back-solve headcount from end-of-service-benefit provisions."
QA_UDCD,United Development Company Q.P.S.C.,2026-08-10,first_party_reports_reviewed_no_total_headcount,"https://udcqatar.com/","Official 2024-2025 annual-report sources were located and previously downloaded in the source probe; no defensible total employee headcount was recovered from the passages reviewed.",no,"Retain zero numeric coverage until a direct workforce disclosure is located."
SA_1080,Arab National Bank,2026-08-10,first_party_archive_found_no_dated_total_headcount,"https://anb.com.sa/web/anb/annual-reports","Official annual-report archive exposes business reviews and financial statements for every 2018-2025 year; indexed first-party search did not surface a dated total headcount.",no,"Requires a future document-level extraction only if a count can be tied to a reporting year and scope."
SA_3030,Saudi Cement Company,2026-08-10,first_party_archive_found_no_dated_total_headcount,"https://saudicement.com.sa/category/investor-relations/annual-reports/","Official annual reports including 2025 are exposed; indexed first-party search did not surface a total employee count.",no,"Do not substitute contractor counts or Saudization percentages for total employment."
SA_3060,Yanbu Cement Company,2026-08-10,first_party_site_found_no_dated_total_headcount,"https://mfaprod.yanbucement.com/YCC/","Official corporate site and reporting surface were searched; no dated total employee count was recovered in the final zero-coverage pass.",no,"Leave unresolved rather than infer from plant size/capacity."
SA_5110,Saudi Electricity Company,2026-08-10,first_party_archive_found_no_dated_total_headcount,"https://www.se.com.sa/en/Investors/Reports-and-Presentations/Annual-Reports/","Official annual-report archive exposes reports for every 2018-2025 year; indexed first-party search did not surface a total employee headcount.",no,"The staff-services page is not a workforce-count disclosure."
SA_8010,The Company for Cooperative Insurance (Tawuniya),2026-08-10,first_party_archive_found_no_dated_total_headcount,"https://www.tawuniya.com/en/investor?tab=2","Official annual reports 2023-2025 and the 2024 ESG report are exposed; indexed first-party search did not surface a dated total workforce count.",no,"Retain unresolved until a report passage gives a numeric total with scope/year."
SA_8210,Bupa Arabia for Cooperative Insurance,2026-08-10,undated_numeric_disclosure_not_assignable,"https://bupa.com.sa/en/Sustainability/social | https://bupa.com.sa/en/IR/FinancialInformation","Current sustainability page reports a workforce of 2,012 employees, while nearby content separately references 2023 targets/policies; the page does not unambiguously state that 2,012 is the FY2023, FY2024 or FY2025 year-end count.",no,"Do not assign 2,012 to a panel year without a dated report anchor. The observation is retained as a candidate, not promoted to the firm-year panel."
