ai_evidence_id,firm_id,firm_name,year,ai_label,ai_label_text,evidence_type,evidence_excerpt,evidence_summary,functional_tag,source_url,source_locator,source_type,source_retrieval_date,source_sha256,source_hash_status,manual_review,confidence,adoption_interpretation,notes,source_batch,duplicate_batch_count,source_batches
AIRARABIA_AI_2023_001,AE_DFM_AIRARABIA,Air Arabia PJSC,2023,1,1_rhetoric,ai_industry_risk,advancements in artificial intelligence and automation reshape the industry,Air Arabia's 2023 ESG risk discussion identifies AI and automation as technologies likely to affect workforce and operational processes and says the company is investing in technology and workforce skills for future demands; it does not identify a concrete deployed AI system.,operations,https://www.airarabia.com/-/media/investor-relations/2023/esg_2023.pdf,"ESG Report 2023 > emerging/technology risk discussion, parsed PDF p.64",esg_report_pdf,2026-08-09,b5e50ff613fa8697da5fa151c654a3f4f9658396bdd5849742e658eb01a474a3,archived_sha256_verified,yes,high,Risk/strategy evidence only. No production adoption year is assigned from this record.,Frozen codebook requires a named operational use; discussion of AI's expected industry impact and technology investment remains score 1.,research_batch_14_ai_evidence.csv,1,research_batch_14_ai_evidence.csv
AJMAN_AI_2025_001,AE_DFM_AJMANBANK,Ajman Bank PJSC,2025,2,2_deployed,genai_customer_assistant,Hamad AI ... artificial intelligence assistant,"Ajman Bank's official page states Hamad AI was officially announced at GITEX 2025 and provides personalized financial guidance, product/service access and real-time customer support.",customer_service,https://www.ajmanbank.ae/site/hamad-ai.html,Ajman Bank official Hamad AI page; launch announced at GITEX 2025,official_company_page,2026-08-09,,html_snapshot_hash_pending,yes,high,First observed qualifying deployment in the currently audited record; earlier years require the same manual search before freezing first adoption.,"The present-day service page describes an operating customer assistant, not merely a planned project. Score 2 is conservative because it is a customer-service layer rather than demonstrated core underwriting/risk decisioning.",research_batch_30_ai_evidence.csv,1,research_batch_30_ai_evidence.csv
AJMAN_AI_2025_002,AE_DFM_AJMANBANK,Ajman Bank PJSC,2025,1,1_rhetoric,data_ai_platform_plan,large-scale adoption of artificial intelligence,Ajman Bank's October 2025 DXC partnership describes a new data/advanced-analytics platform intended to enable large-scale AI adoption.,analytics,https://www.ajmanbank.ae/site/newsdetail/ajman-bank-partners-with-dxc-technology-to-build-a-next-generation-data-and-advanced-analytics-platform,"Ajman Bank official release, 17 Oct 2025",official_company_news,2026-08-09,,html_snapshot_hash_pending,yes,high,Kept below deployment threshold because the platform is announced as a partnership to design and implement capabilities; Hamad AI is the separate qualifying 2025 deployment record.,Prevents future-oriented platform language from inflating treatment intensity.,research_batch_30_ai_evidence.csv,1,research_batch_30_ai_evidence.csv
ARAMEX_AI_2018_001,AE_DFM_ARMX,Aramex PJSC,2018,2,2_deployed,ai_chatbot,"In October 2018, Aramex became one of the first companies in the logistics and transport industry to roll out WhatsApp for Business to customers in the form of an AI-based Chatbot.",Aramex's September 2019 official AWS release retrospectively dates an AI-based customer chatbot rollout to October 2018.,customer_service,https://www.aramex.com/ae/en/media-details/news/news-details?contentId=fe537388-b3f2-659d-9310-ff0100e7fe0c&module=stories&page=14,"Official Aramex release, 3 Sep 2019 > digital-transformation milestones",official_company_news,2026-08-09,f04ebb0aa2a8496a9e8df0650af1ac4791ed2c36f5ffde87d8d42c7f161a9226,archived_sha256_verified,yes,high,Operational AI is observed at the left edge of the panel; first adoption is left-censored at <=2018 unless pre-2018 evidence is collected. Aramex must not be treated as a post-2022 newly adopting firm.,The source explicitly states rollout to customers; this clears the score-2 deployment threshold.,research_batch_27_ai_evidence.csv,1,research_batch_27_ai_evidence.csv
ARAMEX_AI_2019_001,AE_DFM_ARMX,Aramex PJSC,2019,3,3_core,ml_last_mile_prediction,leverages machine learning (ML) and artificial intelligence (AI) capabilities to further enhance the customer experience by transforming the last mile delivery,Aramex reports an in-house AWS ML/AI platform used for intelligent address prediction and instant delivery-time prediction; the company says shipping-date prediction accuracy increased 74% and processing time fell from 2.5 seconds to under 200 milliseconds.,operations,https://www.aramex.com/ae/en/media-details/news/news-details?contentId=fe537388-b3f2-659d-9310-ff0100e7fe0c&module=stories&page=14,"Official Aramex release, 3 Sep 2019",official_company_news,2026-08-09,f04ebb0aa2a8496a9e8df0650af1ac4791ed2c36f5ffde87d8d42c7f161a9226,archived_sha256_verified,yes,high,Confirms core operational integration after the 2018 chatbot deployment; treatment remains on.,"Address prediction and delivery-time prediction directly govern last-mile logistics, a core operating function, and have reported realized performance effects; score 3 is warranted.",research_batch_27_ai_evidence.csv,1,research_batch_27_ai_evidence.csv
ARMX_AI_2019_001,AE_DFM_ARMX,Aramex PJSC,2019,3,3_core,ml_ai_last_mile,big data infrastructure that leverages machine learning (ML) and artificial intelligence (AI) capabilities to further enhance the customer experience by transforming the last mile delivery,Aramex announced an AWS-based data platform already leveraging ML/AI; the platform increased shipping-date prediction accuracy by 74% and was designed to transform last-mile delivery.,operations,https://www.aramex.com/media-details/news/news-details?contentId=fe537388-b3f2-659d-9310-ff0100e7fe0c&module=stories&page=14,"Official Aramex news release, 3 September 2019",official_company_news,2026-08-09,de177641f71c1c5ab83914fff7d3babc08ca1cf774963381106248a2d4665c14,archived_sha256_verified,yes,high,Core operational AI is observed in 2019; true adoption is left-censored at <=2019 until 2018 disclosures are searched under the same protocol.,"Last-mile prediction is a core logistics function and the disclosure reports a realized 74% accuracy improvement, supporting score 3 rather than pilot/rhetoric.",research_batch_15_ai_evidence.csv,1,research_batch_15_ai_evidence.csv
ARAMEX_AI_2023_001,AE_DFM_ARMX,Aramex PJSC,2023,3,3_core,predictive_ai_geocoder,utilizes machine learning and predictive AI to predict and generate precise delivery coordinates,Aramex's proprietary Geocoder uses ML and predictive AI to generate delivery coordinates and underpins a live-tracking last-mile feature tested in the UAE.,operations,https://www.aramex.com/ne/en/media-details/news/news-details?contentId=9e74ab88-b3f2-659d-9310-ff0100e7fe0c&module=stories&page=3,"Official Aramex release, 15 Aug 2023",official_company_news,2026-08-09,c51c0a127a1ab552c61fcb3657bfb7d2be4d18f8794bf76d184cd1a8319aa0e6,archived_sha256_verified,yes,high,Confirms persistence and deepening of core AI integration; not a new adoption event.,"The 2023 integrated report independently describes groundbreaking AI products, route optimization and technology-led operational efficiency.",research_batch_27_ai_evidence.csv,1,research_batch_27_ai_evidence.csv
ARMX_AI_2023_001,AE_DFM_ARMX,Aramex PJSC,2023,3,3_core,predictive_ai_geocoder,"Geocoder, which utilizes machine learning and predictive AI to predict and generate precise delivery coordinates","Aramex's proprietary geocoder used ML and predictive AI to generate delivery coordinates, supporting a live-tracking last-mile feature tested in the UAE in 2023.",operations,https://www.aramex.com/ne/en/media-details/news/news-details?contentId=9e74ab88-b3f2-659d-9310-ff0100e7fe0c&module=stories&page=3,"Official Aramex news release, 15 August 2023",official_company_news,2026-08-09,c51c0a127a1ab552c61fcb3657bfb7d2be4d18f8794bf76d184cd1a8319aa0e6,archived_sha256_verified,yes,high,Confirms persistent core AI use in a last-mile delivery function by 2023; does not change the <=2019 left-censored adoption status.,"The customer live-tracking feature was being tested, but the underlying proprietary geocoder is described as an existing ML/predictive-AI system; score 3 is anchored to that operational geocoder rather than to the customer-feature trial.",research_batch_15_ai_evidence.csv,1,research_batch_15_ai_evidence.csv
CBD_AI_2024_001,AE_DFM_CBD,Commercial Bank of Dubai PSC,2024,2,2_deployed,ai_customer_service,latest personalized AI-driven customer service solutions,CBD's official May 2024 release states that its private-cloud environment supports AI-driven customer services and refers to existing personalized AI-driven customer-service solutions.,customer_service,https://www.cbd.ae/aboutus/media-centre/press-room/news?Id=56b54bff-458f-66de-b8c5-ff0b00b6b24a,"Official CBD release, 29 May 2024",official_company_news,2026-08-09,13ef9561c99f9bcc809734617c724f8b936d170f3020d71a0d8e4e80cb8d6186,archived_sha256_verified,yes,high,First observed qualifying operational AI evidence in the currently audited CBD record; 2018-2023 require identical manual search before a definitive first-adoption year is frozen.,The release describes current AI-driven solutions rather than a future MoU. Score 2 is conservative because no core credit/risk decision system is identified.,research_batch_30_ai_evidence.csv,1,research_batch_30_ai_evidence.csv
CBD_AI_2025_001,AE_DFM_CBD,Commercial Bank of Dubai PSC,2025,2,2_deployed,enterprise_copilot,large-scale Microsoft Copilot rollout to more than 800 employees,CBD's official 2025 release documents enterprise rollout of Microsoft Copilot to more than 800 employees.,operations,https://www.cbd.ae/aboutus/media-centre/press-room/news,"CBD official release, 29 Jan 2025, Microsoft Copilot rollout",official_company_news,2026-08-09,cd26c815e5ae962430bb740d429bdd0834bdd679bd5a8a6deb0372d0c5298009,archived_sha256_verified,yes,medium_high,Confirms enterprise internal AI use after the 2024 customer-service evidence; not a new adoption event.,"Productivity support is operational deployment but not by itself core banking integration, so score 2.",research_batch_30_ai_evidence.csv,1,research_batch_30_ai_evidence.csv
