slot,firm_name_canonical,country,exchange,exchange_symbol,listing_source_url,annual_reports_located,collection_status,notes
1,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,https://www.saudiexchange.sa/Resources/Reports/Yearly_en.html,yes,seed_started,"Existing verified seed; retain only after scope harmonization."
2,Saudi Telecom Company (stc),Saudi Arabia,Saudi Exchange,7010,https://www.saudiexchange.sa/Resources/Reports/Yearly_en.html,yes,seed_started,"Existing verified seed; structural-break review already required."
3,Almarai Company,Saudi Arabia,Saudi Exchange,2280,https://www.saudiexchange.sa/Resources/Reports/Yearly_en.html,yes,seed_started,"Existing verified seed; GCC-vs-group workforce scope requires harmonization."
4,ACWA Power,Saudi Arabia,Saudi Exchange,,https://www.saudiexchange.sa/Resources/Reports/Yearly_en.html,no,listing_verified,"Ticker and 2018-2025 report coverage to verify before collection."
5,SABIC,Saudi Arabia,Saudi Exchange,,https://www.saudiexchange.sa/Resources/Reports/Yearly_en.html,no,listing_verified,"Ticker and 2018-2025 report coverage to verify before collection."
6,ADNOC Drilling Company,UAE,Abu Dhabi Securities Exchange,ADNOCDRILL,https://www.adx.ae/about-adx/knowledge-center/adx-blogs/dividend-investing-in-abu-dhabi-guide-2026,no,listing_verified,"Recent listing may limit pre-2022 public-company panel coverage; keep only if historical reports support design."
7,ADNOC Distribution,UAE,Abu Dhabi Securities Exchange,ADNOCDIST,https://www.adx.ae/about-adx/knowledge-center/adx-blogs/dividend-investing-in-abu-dhabi-guide-2026,no,listing_verified,"Locate annual reports and workforce scope."
8,e& (Etisalat),UAE,Abu Dhabi Securities Exchange,EAND,https://www.adx.ae/about-adx/knowledge-center/adx-blogs/dividend-investing-in-abu-dhabi-guide-2026,no,listing_verified,"Locate annual reports and harmonize group perimeter."
9,First Abu Dhabi Bank,UAE,Abu Dhabi Securities Exchange,FAB,https://www.adx.ae/about-adx/knowledge-center/adx-blogs/dividend-investing-in-abu-dhabi-guide-2026,no,listing_verified,"Bank; retain sector diversity but document headcount definitions."
10,Abu Dhabi Commercial Bank,UAE,Abu Dhabi Securities Exchange,ADCB,https://www.adx.ae/about-adx/knowledge-center/adx-blogs/dividend-investing-in-abu-dhabi-guide-2026,no,listing_verified,"Bank; locate comparable workforce series."
11,Abu Dhabi Islamic Bank,UAE,Abu Dhabi Securities Exchange,ADIB,https://www.adx.ae/about-adx/knowledge-center/adx-blogs/dividend-investing-in-abu-dhabi-guide-2026,no,listing_verified,"Bank; locate comparable workforce series."
12,Aldar Properties,UAE,Abu Dhabi Securities Exchange,ALDAR,https://www.adx.ae/about-adx/knowledge-center/adx-blogs/dividend-investing-in-abu-dhabi-guide-2026,no,listing_verified,"Locate annual reports and merger/perimeter history."
13,Emaar Properties,UAE,Dubai Financial Market,EMAAR,https://service.dfm.ae/Bulletins?L=0,no,listing_verified,"Locate annual reports and workforce reporting."
14,Emirates NBD,UAE,Dubai Financial Market,EMIRATESNBD,https://service.dfm.ae/Bulletins?L=0,no,listing_verified,"Bank; locate comparable workforce series."
15,Emirates Integrated Telecommunications Company (du),UAE,Dubai Financial Market,DU,https://service.dfm.ae/Bulletins?L=0,no,listing_verified,"Telecom comparator to stc/e&; locate reports and AI disclosures."
16,Dubai Islamic Bank,UAE,Dubai Financial Market,DIB,https://service.dfm.ae/Bulletins?L=0,no,listing_verified,"Bank; locate comparable workforce series."
17,Ooredoo,Qatar,Qatar Stock Exchange,ORDS,https://qe.com.qa/web/guest/market-makers-and-lp,no,listing_verified,"Telecom comparator; locate 2018-2025 reports."
18,Industries Qatar,Qatar,Qatar Stock Exchange,IQCD,https://qe.com.qa/web/guest/market-makers-and-lp,no,listing_verified,"Industrial/materials exposure; verify consolidated workforce disclosure."
19,Baladna,Qatar,Qatar Stock Exchange,BLDN,https://qe.com.qa/web/guest/market-makers-and-lp,no,listing_verified,"Consumer/food exposure; listing history may constrain full pre-period."
20,Qatar Gas Transport Company Ltd. (Nakilat),Qatar,Qatar Stock Exchange,QGTS,https://qe.com.qa/web/guest/market-makers-and-lp,no,listing_verified,"Transportation/logistics exposure; locate annual reports and workforce series."
