firm_id,firm_name,search_date,search_status,qualifying_evidence_id,domains_reviewed,search_notes
SA_2222,Saudi Arabian Oil Company (Aramco),2026-08-10,qualifying_evidence_found,ARAMCO_AI_2025_001,aramco.com,"First-party 2025 speech/news search found explicit deployed AI across exploration and production including autonomous drilling; coded under frozen v0.2 codebook."
SA_2280,Almarai Company,2026-08-10,qualifying_evidence_found,ALMARAI_AI_2025_001,almarai.com|annualreport.almarai.com,"2025 annual-report digital-transformation disclosure explicitly states expanded AI productivity tools and AI Centre of Excellence."
SA_1211,Saudi Arabian Mining Company (Ma'aden),2026-08-10,searched_no_in_period_qualifying_evidence,,maaden.com,"First-party search found a current undated innovation page saying AI and data modelling are used in exploration, but no safely dated 2018-2025 passage was found; 2024 digital-mine release establishes automation/digital mining but not AI and is excluded by codebook."
SA_2050,Savola Group,2026-08-10,searched_no_in_period_qualifying_evidence,,savola.com,"Targeted first-party searches for AI, machine learning and 2025 annual-report references returned no qualifying implemented-use passage. This is a search outcome, not evidence that the firm never used AI."
SA_1080,Arab National Bank,2026-08-10,searched_no_in_period_qualifying_evidence,,anb.com.sa,"Targeted first-party searches for AI, machine learning and annual-report deployment returned no qualifying implemented-use passage."
SA_1140,Bank Albilad,2026-08-10,searched_no_in_period_qualifying_evidence,,bankalbilad.com,"Targeted first-party searches for AI, machine learning and 2025 annual-report deployment returned no qualifying implemented-use passage."
SA_3030,Saudi Cement Company,2026-08-10,searched_no_in_period_qualifying_evidence,,saudicement.com.sa,"First-party technology material describes automation/integration but no AI/ML; automation alone is explicitly non-qualifying under codebook v0.2."
AE_DFM_EMAARDEV,Emaar Development PJSC,2026-08-10,searched_no_in_period_qualifying_evidence,,emaar.com,"Search found AI/ML use in Emaar Hospitality disclosures but not a passage attributable to the focal listed Emaar Development entity; cross-entity evidence was not imported."
AE_DFM_UPP,Union Properties PJSC,2026-08-10,searched_no_in_period_qualifying_evidence,,up.ae,"Targeted first-party searches for AI, machine learning and annual-report deployment returned no qualifying implemented-use passage."
AE_DFM_DEYAAR,Deyaar Development PJSC,2026-08-10,searched_no_in_period_qualifying_evidence,,deyaar.ae,"Current facilities-management page explicitly says AI is integrated in core FM operations, but the page did not expose a reliable 2018-2025 publication/adoption date; it was not back-dated into the panel."
AE_DFM_DFM,Dubai Financial Market PJSC,2026-08-10,searched_no_in_period_qualifying_evidence,,dfm.ae|assets.dfm.ae,"Targeted first-party searches for AI, generative AI, machine learning and 2025 integrated-report references returned no qualifying implemented-use passage."
QA_CBQK,Commercial Bank of Qatar,2026-08-10,qualifying_evidence_found,CBQ_AI_2025_001,cbq.qa,"Official 3 July 2025 release states AI-powered models are used for risk prediction and fraud prevention and AI is embedded across operations."
QA_DHBK,Doha Bank,2026-08-10,searched_no_in_period_qualifying_evidence,,dohabank.com|qa.dohabank.com,"Official achievements pages show enterprise AI/digital-transformation awards, but targeted searches did not identify a dated 2018-2025 passage establishing a specific deployed AI system or workflow; awards alone were not promoted to score >=2."
QA_IQCD,Industries Qatar Q.P.S.C.,2026-08-10,searched_no_in_period_qualifying_evidence,,iq.com.qa,"Targeted first-party searches for AI and 2025 annual-report deployment returned no qualifying implemented-use passage."
QA_QEWS,Qatar Electricity & Water Company,2026-08-10,searched_no_in_period_qualifying_evidence,,qewc.com,"Targeted first-party searches for AI and 2025 annual-report deployment returned no qualifying implemented-use passage."
QA_QFLS,Qatar Fuel Company (WOQOD),2026-08-10,searched_no_in_period_qualifying_evidence,,woqod.com.qa,"Targeted first-party searches for AI and 2025 annual-report deployment returned no qualifying implemented-use passage."
QA_QGTS,Qatar Gas Transport Company Ltd. (Nakilat),2026-08-10,searched_no_in_period_qualifying_evidence,,nakilat.com|investors.nakilat.com,"Targeted first-party AI searches returned no qualifying in-period passage; investor annual-report endpoint is separately documented as HTTP-403 blocked to GitHub runners."
QA_BRES,Barwa Real Estate Company Q.P.S.C.,2026-08-10,searched_no_in_period_qualifying_evidence,,barwa.com.qa,"2021 Huawei agreement concerns smart-city/ICT/5G systems; Huawei's own AI capabilities are mentioned but Barwa internal AI deployment is not established, so it is excluded by codebook."
QA_UDCD,United Development Company Q.P.S.C.,2026-08-10,qualifying_evidence_found,UDC_AI_2025_001,udcqatar.com,"Official November 2025 release describes deployed intelligent FM/maintenance operations and a service platform supported by an omnichannel AI assistant."
